,Max V (increase),Max V (decrease),Max D (increase),Max D (decrease),Min S+R (increase),Min S+R (decrease),Max Mphi (increase),Max Mphi (decrease),Max T (increase),Max T (decrease),Max Lu (increase),Max Lu (decreased),Max Fu (increased),Max Fu (decreased),Total Fu (increase),Total Fu (decrease)
G_U_0,-4.44089209850063E-15,1.33226762955019E-15,4.9293902293357E-14,4.86277684785819E-14,-1.34336985979644E-14,-1.16573417585641E-14,1.36779476633819E-13,-9.14823772291129E-14,-5.55111512312578E-15,1.84297022087776E-14,1.63868918434673E-13,-5.78426195829707E-14,1.50990331349021E-14,-6.43929354282591E-15,-7.55506768257419E-12,-4.95892216179072E-12
G_B_0,-3.10862446895044E-14,-8.43769498715119E-15,3.26405569239796E-14,7.03881397612349E-14,1.22124532708767E-14,-1.48769885299771E-14,8.43769498715119E-15,2.75335310107039E-14,-1.69864122767649E-14,5.55111512312578E-15,5.10702591327572E-14,7.68274333040608E-14,1.99840144432528E-15,5.99520433297585E-15,-6.67821353772524E-12,-9.50661771526029E-12
p_G_MPhi_I,2.30926389122033E-14,-3.03090885722668E-14,-8.48587866641992E-12,8.24229573481716E-12,-1.70086167372574E-13,1.26343380202343E-13,2.32216468276647E-11,-2.20639062575856E-11,-2.73760725200134E-09,5.1740123296895E-10,2.12403428179186E-11,-2.00793826010681E-11,2.41340281093017E-12,-2.28639329691305E-12,3.12769026833415E-05,-3.14290218436097E-05
eta_G_MPhi,-3.70814490224802E-14,3.77475828372553E-15,7.56972262649924E-12,-8.62154792002912E-12,1.23900889548167E-13,-1.46549439250521E-13,-2.0205614958968E-11,2.3330448684078E-11,5.39805755650491E-10,-2.91230539684051E-09,-1.8389956224496E-11,2.13309370167281E-11,-2.09321449062827E-12,2.42095232749762E-12,-2.98094291460993E-05,3.27498096501788E-05
p_G_M,-1.22124532708767E-15,2.44249065417534E-15,-6.11399819661074E-13,7.64277530151958E-13,-3.47499806707674E-14,-1.27675647831893E-14,1.58673074679427E-12,-1.51367807177394E-12,5.24550181069117E-10,-2.93361290815142E-09,1.50923717967544E-12,-1.34725564038263E-12,1.66311409088848E-13,-1.52322598978571E-13,-1.68927848244183E-05,1.76419474260392E-05
eta_G_M,-2.4757973449141E-14,-6.88338275267597E-15,7.62945262522408E-13,-6.57918164392868E-13,-2.99760216648792E-15,-3.01980662698043E-14,-1.42752476506303E-12,1.65778502037028E-12,-2.71210331970195E-09,5.05002706319147E-10,-1.22524212997632E-12,1.5709655798446E-12,-1.4210854715202E-13,1.73194791841524E-13,1.67388739338303E-05,-1.77085479814432E-05
k_lin_G,-3.47499806707674E-14,3.530509218308E-14,8.47832914985247E-12,-9.82791625858681E-12,1.45883305435746E-13,-1.78967951569575E-13,-2.1529666938136E-11,2.48787657142202E-11,-9.54270351627429E-09,-6.56517062935791E-10,-1.96356264581254E-11,2.27222685111883E-11,-2.24098517520588E-12,2.59325894091944E-12,3.52480639935759E-05,-3.24965078718487E-05
k_int_G,-2.77555756156289E-15,6.88338275267597E-15,1.15818465928896E-12,-1.0911271886016E-12,4.2188474935756E-15,-3.34177130412172E-14,-2.94253510446652E-12,3.03534974932518E-12,1.72128977737884E-12,-1.73550063209404E-12,-2.66020538930434E-12,2.79021250548794E-12,-3.03312930327593E-13,3.16191517413245E-13,2.09277040141842E-12,-1.17071907723698E-11
k_B_G,2.46469511466785E-14,-2.78665979180914E-14,-9.28668253408205E-12,8.95861163030531E-12,-1.66866520601161E-13,1.19237952844742E-13,2.49358311776859E-11,-2.3614665778382E-11,-1.43782763473155E-11,1.36737288158884E-11,2.27751151271605E-11,-2.14741557869047E-11,2.58548737974706E-12,-2.44204656496549E-12,-5.01924057871861E-11,3.08719716457517E-11
k_U_G,-2.32036612146658E-14,3.26405569239796E-14,7.51798623355171E-12,-8.49520453982677E-12,1.10134124042816E-13,-1.58206781009085E-13,-1.9924284444528E-11,2.28004282121219E-11,1.15296661107323E-11,-1.31533672842465E-11,-1.81460402259859E-11,2.08197903361906E-11,-2.06223926824123E-12,2.36433095324173E-12,3.24980042876177E-11,-4.75570693936334E-11
R_G_M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM_G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C_U_0,-0.08565330359544080,0.09893460868716700,-0.01257474527975110,0.012498468907875500,0.008786240735145110,-0.008451003234491220,-0.02962889438297480,0.031547721517045400,-0.012399272958478800,0.012103305108108800,-0.026971918996848100,0.028623900534710900,-0.0037364454263728600,0.003787452870035010,-0.013954835506747600,0.014489446889206700
C_B_0,-3.50730976728109E-05,3.52264858438645E-05,-1.66561714237679E-05,1.67294383899286E-05,1.41664813066988E-05,-1.4228669278693E-05,-2.10128498477902E-05,2.11039450770389E-05,-1.14352065988532E-05,1.14856253949913E-05,-1.91074058440988E-05,1.91902417032708E-05,-3.07164742452404E-06,3.08483050370789E-06,-2.15118277291371E-06,2.15252397861576E-06
p_C_M,-0.01692238812408440,0.017950678172443200,-0.0017882393519761400,0.0020680885913553200,0.0008007713091433560,-0.0007847335093096320,-0.003894526162867900,0.003962936074136230,-0.005933943470879830,0.005752097669210250,-0.003572057183659490,0.0036346201219366000,-0.0004778347565125300,0.00048162556458719600,-0.0035397435404188600,0.002180625015082650
eta_C_M,0.017068030272818600,-0.017784349503589800,0.0019640498717052900,-0.0018738577851320500,-0.0007474537505492980,0.0008432182403479430,0.0037719796649857700,-0.004096491633259540,0.005481694315071510,-0.00625008105959779,0.0034591243600194900,-0.003758018028563240,0.00045838283591082000,-0.0005027805468240670,0.0021080644789570600,-0.003751775723244030
k_lin_C,0.01724637126111990,-0.016479617967509100,0.001952520150788840,-0.0017245974922214200,-0.0007656872545140910,0.0007860299457662650,0.003855959269482010,-0.0038203955273425900,0.005332054324331150,-0.005669604439898170,0.003534877408149840,-0.003503208802048460,0.0004681420342318440,-0.00046836460641075400,0.001985161775835300,-0.0031943520471440200
k_int_C,0.05415618281819110,-0.052733814578224200,0.006905352042694930,-0.007256318321836600,-0.004413326235438550,0.004808365355467360,0.016664900331367000,-0.017080918415657100,0.008485467434791840,-0.009243811085787870,0.015148477345891900,-0.015555685419927600,0.0020216954910166100,-0.0021309103725242200,0.026803871215320900,-0.025602192192003100
